IN_LINK_ID,OUT_LINK_ID,SATURATION_FLOW,DATA_SOURCE,IS_MANUALLY_ADJUSTED,NAME
11,12,1300,,,
11,18,1400,,,
12,13,800,,,
12,14,1400,,,
13,17,800,,,
16,17,1500,,,
17,12,1000,,,
18,15,1500,,,
18,19,800,,,
13,15,3600,0,0,0
16,19,3600,0,0,0
19,14,3600,0,0,0
