LINK_ID,FLOW,WEIGHT,EST_FLOW,IS_SOURCE,DAY,TIME_OF_DAY
49329998941017050,0,0,-0.0,0,09-Apr-2015,00:20:00
4932999549329998,0,0,136.80000008892404,0,09-Apr-2015,00:20:00
4932999149329998,0,0,472.00000000000006,0,09-Apr-2015,00:20:00
94101707749329991,0,0,472.00000000000006,1,09-Apr-2015,00:20:00
49329991941017066,0,0,472.00000000000006,0,09-Apr-2015,00:20:00
4932999149329944,0,0,1148.0,0,09-Apr-2015,00:20:00
4932994449329991,0,0,472.00000000000006,0,09-Apr-2015,00:20:00
49329991941017078,0,0,1148.0,0,09-Apr-2015,00:20:00
94101706549329991,0,0,1148.0,1,09-Apr-2015,00:20:00
4932997049329960,0,0,1816.6153846153845,0,09-Apr-2015,00:20:00
4932996049329946,0,0,1600.6153846153845,0,09-Apr-2015,00:20:00
49329960311830187,0,0,908.3076923076923,0,09-Apr-2015,00:20:00
49329960941017075,0,0,-0.0,0,09-Apr-2015,00:20:00
4932994649329960,0,0,-0.0,0,09-Apr-2015,00:20:00
4932994649329995,0,0,-0.0,0,09-Apr-2015,00:20:00
4932994649329944,0,0,1600.6153846153845,0,09-Apr-2015,00:20:00
4932994449329946,0,0,-0.0,0,09-Apr-2015,00:20:00
4932957849329946,0,0,-0.0,0,09-Apr-2015,00:20:00
4932994449329936,0,0,1283.9999999999998,0,09-Apr-2015,00:20:00
49329944941017047,0,0,3210.6153846153848,0,09-Apr-2015,00:20:00
94101704449329944,0,0,472.00000000000006,1,09-Apr-2015,00:20:00
4932993649329944,0,0,1746.0,0,09-Apr-2015,00:20:00
49329936941017063,0,0,2867.9999999999995,0,09-Apr-2015,00:20:00
4932993649329933,0,0,-0.0,0,09-Apr-2015,00:20:00
49329936941017072,0,0,-0.0,0,09-Apr-2015,00:20:00
94101707149329936,0,0,1343.9999999999998,1,09-Apr-2015,00:20:00
4932989349329936,0,0,-0.0,0,09-Apr-2015,00:20:00
4932993349329936,0,0,1986.0,0,09-Apr-2015,00:20:00
4932993349329891,0,0,-0.0,0,09-Apr-2015,00:20:00
4932993349329576,0,0,960.0,0,09-Apr-2015,00:20:00
49329933941017069,0,0,-0.0,0,09-Apr-2015,00:20:00
94101706849329933,0,0,960.0,1,09-Apr-2015,00:20:00
