IN_LINK_ID,OUT_LINK_ID,TURN_RATIO,DAY,TIME_OF_DAY,WEIGHT
4932995149329981,4932998149329995,0.051579999999999994,09-Apr-2015,06:10:00,1
4932995149329981,4932998149329995,0.05869,09-Apr-2015,06:15:00,1
4932995149329981,4932998149329995,0.06615,09-Apr-2015,06:20:00,1
4932995149329981,4932998149329995,0.07455,09-Apr-2015,06:25:00,1
4932995149329981,4932998149329995,0.08784,09-Apr-2015,06:30:00,1
4932995149329981,4932998149329995,0.0981,09-Apr-2015,06:35:00,1
4932995149329981,4932998149329995,0.10073,09-Apr-2015,06:40:00,1
4932995149329981,4932998149329995,0.10153999999999999,09-Apr-2015,06:45:00,1
4932995149329981,4932998149329995,0.10259000000000001,09-Apr-2015,06:50:00,1
4932995149329981,4932998149329995,0.10096000000000001,09-Apr-2015,06:55:00,1
4932995149329981,4932998149329995,0.10039,09-Apr-2015,07:00:00,1
4932995149329981,4932998149329995,0.09952000000000001,09-Apr-2015,07:05:00,1
4932995149329981,4932998149329995,0.09677000000000001,09-Apr-2015,07:10:00,1
4932995149329981,4932998149329995,0.09486,09-Apr-2015,07:15:00,1
4932995149329981,4932998149329995,0.09186,09-Apr-2015,07:20:00,1
4932995149329981,4932998149329995,0.08764,09-Apr-2015,07:25:00,1
4932995149329981,4932998149329995,0.08397,09-Apr-2015,07:30:00,1
4932995149329981,4932998149329995,0.08445,09-Apr-2015,07:35:00,1
4932995149329981,4932998149329995,0.08913,09-Apr-2015,07:40:00,1
4932995149329981,4932998149329995,0.09165,09-Apr-2015,07:45:00,1
4932995149329981,4932998149329995,0.09572,09-Apr-2015,07:50:00,1
4932995149329981,4932998149329995,0.10035,09-Apr-2015,07:55:00,1
4932995149329981,4932998149329995,0.10452,09-Apr-2015,08:00:00,1
4932995149329981,4932998149329995,0.11095999999999999,09-Apr-2015,08:05:00,1
4932995149329981,4932998149329995,0.11652,09-Apr-2015,08:10:00,1
4932995149329981,4932998149329995,0.12067,09-Apr-2015,08:15:00,1
4932995149329981,4932998149329995,0.12378,09-Apr-2015,08:20:00,1
4932995149329981,4932998149329995,0.12513,09-Apr-2015,08:25:00,1
4932995149329981,4932998149329995,0.1278,09-Apr-2015,08:30:00,1
4932995149329981,4932998149329995,0.13002,09-Apr-2015,08:35:00,1
4932995149329981,4932998149329995,0.13155,09-Apr-2015,08:40:00,1
4932995149329981,4932998149329995,0.13205999999999998,09-Apr-2015,08:45:00,1
4932995149329981,4932998149329995,0.13176,09-Apr-2015,08:50:00,1
4932995149329981,4932998149329995,0.13177,09-Apr-2015,08:55:00,1
4932995149329981,4932998149329995,0.12839,09-Apr-2015,09:00:00,1
4932995149329981,4932998149329995,0.12804000000000001,09-Apr-2015,09:05:00,1
4932995149329981,4932998149329995,0.1272,09-Apr-2015,09:10:00,1
4932995149329981,4932998149329995,0.12382,09-Apr-2015,09:15:00,1
4932995149329981,4932998149329995,0.12317,09-Apr-2015,09:20:00,1
4932995149329981,4932998149329995,0.12161,09-Apr-2015,09:25:00,1
4932995149329981,4932998149329995,0.11639000000000001,09-Apr-2015,09:30:00,1
4932995149329981,4932998149329995,0.11577,09-Apr-2015,09:35:00,1
4932995149329981,4932998149329995,0.11677,09-Apr-2015,09:40:00,1
4932995149329981,4932998149329995,0.11699999999999999,09-Apr-2015,09:45:00,1
4932995149329981,4932998149329995,0.11765,09-Apr-2015,09:50:00,1
4932995149329981,4932998149329995,0.12093,09-Apr-2015,09:55:00,1
4932995149329981,4932998149329995,0.12046,09-Apr-2015,10:00:00,1
4932995149329981,4932998149329995,0.12114000000000001,09-Apr-2015,10:05:00,1
4932995149329981,4932998149329995,0.12011,09-Apr-2015,10:10:00,1
4932995149329981,4932998149329995,0.11838,09-Apr-2015,10:15:00,1
4932995149329981,4932998149329995,0.11700999999999999,09-Apr-2015,10:20:00,1
4932995149329981,4932998149329995,0.11692000000000001,09-Apr-2015,10:25:00,1
4932995149329981,4932998149329995,0.11332,09-Apr-2015,10:30:00,1
4932995149329981,4932998149329995,0.10889000000000001,09-Apr-2015,10:35:00,1
4932995149329981,4932998149329995,0.1058,09-Apr-2015,10:40:00,1
4932995149329981,4932998149329995,0.10282000000000001,09-Apr-2015,10:45:00,1
4932995149329981,4932998149329995,0.09821,09-Apr-2015,10:50:00,1
4932995149329981,4932998149329995,0.09222999999999999,09-Apr-2015,10:55:00,1
4932995149329981,4932998149329995,0.09018,09-Apr-2015,11:00:00,1
4932995149329981,4932998149329995,0.09072999999999999,09-Apr-2015,11:05:00,1
4932995149329981,4932998149329995,0.08945,09-Apr-2015,11:10:00,1
4932995149329981,4932998149329995,0.08905,09-Apr-2015,11:15:00,1
4932995149329981,4932998149329995,0.08791,09-Apr-2015,11:20:00,1
4932995149329981,4932998149329995,0.08927,09-Apr-2015,11:25:00,1
4932995149329981,4932998149329995,0.09402,09-Apr-2015,11:30:00,1
4932995149329981,4932998149329995,0.09749,09-Apr-2015,11:35:00,1
4932995149329981,4932998149329995,0.10069,09-Apr-2015,11:40:00,1
4932995149329981,4932998149329995,0.10409000000000002,09-Apr-2015,11:45:00,1
4932995149329981,4932998149329995,0.10553,09-Apr-2015,11:50:00,1
4932995149329981,4932998149329995,0.10472999999999999,09-Apr-2015,11:55:00,1
4932995149329981,4932998149329995,0.10563,09-Apr-2015,12:00:00,1
4932995149329981,4932998149329995,0.10755,09-Apr-2015,12:05:00,1
4932995149329981,4932998149329995,0.10768,09-Apr-2015,12:10:00,1
4932995149329981,4932998149329995,0.10676,09-Apr-2015,12:15:00,1
4932995149329981,4932998149329995,0.10594,09-Apr-2015,12:20:00,1
4932995149329981,4932998149329995,0.10378,09-Apr-2015,12:25:00,1
4932995149329981,4932998149329995,0.10199,09-Apr-2015,12:30:00,1
4932995149329981,4932998149329995,0.09591000000000001,09-Apr-2015,12:35:00,1
4932995149329981,4932998149329995,0.09141,09-Apr-2015,12:40:00,1
4932995149329981,4932998149329995,0.09043,09-Apr-2015,12:45:00,1
4932995149329981,4932998149329995,0.08926,09-Apr-2015,12:50:00,1
4932995149329981,4932998149329995,0.08632000000000001,09-Apr-2015,12:55:00,1
4932995149329981,4932998149329995,0.08423,09-Apr-2015,13:00:00,1
4932995149329981,4932998149329995,0.08326,09-Apr-2015,13:05:00,1
4932995149329981,4932998149329995,0.0854,09-Apr-2015,13:10:00,1
4932995149329981,4932998149329995,0.08609,09-Apr-2015,13:15:00,1
4932995149329981,4932998149329995,0.08675,09-Apr-2015,13:20:00,1
4932995149329981,4932998149329995,0.08778,09-Apr-2015,13:25:00,1
4932995149329981,4932998149329995,0.09381,09-Apr-2015,13:30:00,1
4932995149329981,4932998149329995,0.0935,09-Apr-2015,13:35:00,1
4932995149329981,4932998149329995,0.09407,09-Apr-2015,13:40:00,1
4932995149329981,4932998149329995,0.09437000000000001,09-Apr-2015,13:45:00,1
4932995149329981,4932998149329995,0.09577999999999999,09-Apr-2015,13:50:00,1
4932995149329981,4932998149329995,0.09498999999999999,09-Apr-2015,13:55:00,1
4932995149329981,4932998149329995,0.09368,09-Apr-2015,14:00:00,1
4932995149329981,4932998149329995,0.09179,09-Apr-2015,14:05:00,1
4932995149329981,4932998149329995,0.08768,09-Apr-2015,14:10:00,1
4932995149329981,4932998149329995,0.08446000000000001,09-Apr-2015,14:15:00,1
4932995149329981,4932998149329995,0.08102000000000001,09-Apr-2015,14:20:00,1
4932995149329981,4932998149329995,0.07883,09-Apr-2015,14:25:00,1
4932995149329981,4932998149329995,0.08012999999999999,09-Apr-2015,14:30:00,1
4932995149329981,4932998149329995,0.08127999999999999,09-Apr-2015,14:35:00,1
4932995149329981,4932998149329995,0.08007,09-Apr-2015,14:40:00,1
4932995149329981,4932998149329995,0.07996,09-Apr-2015,14:45:00,1
4932995149329981,4932998149329995,0.08259,09-Apr-2015,14:50:00,1
4932995149329981,4932998149329995,0.08548,09-Apr-2015,14:55:00,1
4932995149329981,4932998149329995,0.08588,09-Apr-2015,15:00:00,1
4932995149329981,4932998149329995,0.08935,09-Apr-2015,15:05:00,1
4932995149329981,4932998149329995,0.09172000000000001,09-Apr-2015,15:10:00,1
4932995149329981,4932998149329995,0.0969,09-Apr-2015,15:15:00,1
4932995149329981,4932998149329995,0.0945,09-Apr-2015,15:20:00,1
4932995149329981,4932998149329995,0.09132,09-Apr-2015,15:25:00,1
4932995149329981,4932998149329995,0.09315,09-Apr-2015,15:30:00,1
4932995149329981,4932998149329995,0.09204,09-Apr-2015,15:35:00,1
4932995149329981,4932998149329995,0.08859,09-Apr-2015,15:40:00,1
4932995149329981,4932998149329995,0.08479,09-Apr-2015,15:45:00,1
4932995149329981,4932998149329995,0.08341,09-Apr-2015,15:50:00,1
4932995149329981,4932998149329995,0.08338,09-Apr-2015,15:55:00,1
4932995149329981,4932998149329995,0.08304,09-Apr-2015,16:00:00,1
4932995149329981,4932998149329995,0.08199,09-Apr-2015,16:05:00,1
4932995149329981,4932998149329995,0.07887999999999999,09-Apr-2015,16:10:00,1
4932995149329981,4932998149329995,0.08002999999999999,09-Apr-2015,16:15:00,1
4932995149329981,4932998149329995,0.08256000000000001,09-Apr-2015,16:20:00,1
4932995149329981,4932998149329995,0.08035,09-Apr-2015,16:25:00,1
4932995149329981,4932998149329995,0.08177999999999999,09-Apr-2015,16:30:00,1
4932995149329981,4932998149329995,0.08575,09-Apr-2015,16:35:00,1
4932995149329981,4932998149329995,0.0884,09-Apr-2015,16:40:00,1
4932995149329981,4932998149329995,0.09028,09-Apr-2015,16:45:00,1
4932995149329981,4932998149329995,0.08991,09-Apr-2015,16:50:00,1
4932995149329981,4932998149329995,0.09165,09-Apr-2015,16:55:00,1
4932995149329981,4932998149329995,0.09459,09-Apr-2015,17:00:00,1
4932995149329981,4932998149329995,0.09759,09-Apr-2015,17:05:00,1
4932995149329981,4932998149329995,0.09894,09-Apr-2015,17:10:00,1
4932995149329981,4932998149329995,0.10214,09-Apr-2015,17:15:00,1
4932995149329981,4932998149329995,0.10528,09-Apr-2015,17:20:00,1
4932995149329981,4932998149329995,0.10887999999999999,09-Apr-2015,17:25:00,1
4932995149329981,4932998149329995,0.11055,09-Apr-2015,17:30:00,1
4932995149329981,4932998149329995,0.1128,09-Apr-2015,17:35:00,1
4932995149329981,4932998149329995,0.11494000000000001,09-Apr-2015,17:40:00,1
4932995149329981,4932998149329995,0.11997999999999999,09-Apr-2015,17:45:00,1
4932995149329981,4932998149329995,0.12567,09-Apr-2015,17:50:00,1
4932995149329981,4932998149329995,0.12276,09-Apr-2015,17:55:00,1
4932995149329981,4932998149329995,0.12099000000000001,09-Apr-2015,18:00:00,1
4932995149329981,4932998149329995,0.12201,09-Apr-2015,18:05:00,1
4932995149329981,4932998149329995,0.11934000000000002,09-Apr-2015,18:10:00,1
4932995149329981,4932998149329995,0.11703,09-Apr-2015,18:15:00,1
4932995149329981,4932998149329995,0.1156,09-Apr-2015,18:20:00,1
4932995149329981,4932998149329995,0.11640999999999999,09-Apr-2015,18:25:00,1
4932995149329981,4932998149329995,0.11621,09-Apr-2015,18:30:00,1
4932995149329981,4932998149329995,0.11713,09-Apr-2015,18:35:00,1
4932995149329981,4932998149329995,0.11488,09-Apr-2015,18:40:00,1
4932995149329981,4932998149329995,0.11272,09-Apr-2015,18:45:00,1
4932995149329981,4932998149329995,0.11703,09-Apr-2015,18:50:00,1
4932995149329981,4932998149329995,0.11750999999999999,09-Apr-2015,18:55:00,1
4932995149329981,4932998149329995,0.11690999999999999,09-Apr-2015,19:00:00,1
4932995149329981,4932998149329995,0.11813,09-Apr-2015,19:05:00,1
4932995149329981,4932998149329995,0.11922,09-Apr-2015,19:10:00,1
4932995149329981,4932998149329995,0.1183,09-Apr-2015,19:15:00,1
4932995149329981,4932998149329995,0.11531,09-Apr-2015,19:20:00,1
4932995149329981,4932998149329995,0.11425,09-Apr-2015,19:25:00,1
4932995149329981,4932998149329995,0.11213,09-Apr-2015,19:30:00,1
4932995149329981,4932998149329995,0.11348,09-Apr-2015,19:35:00,1
4932995149329981,4932998149329995,0.11344000000000001,09-Apr-2015,19:40:00,1
4932995149329981,4932998149329995,0.11085,09-Apr-2015,19:45:00,1
4932995149329981,4932998149329995,0.11135999999999999,09-Apr-2015,19:50:00,1
4932995149329981,4932998149329995,0.11195999999999999,09-Apr-2015,19:55:00,1
4932995149329981,4932998149329995,0.11117,09-Apr-2015,20:00:00,1
4932995149329981,4932998149329995,0.1111,09-Apr-2015,20:05:00,1
4932995149329981,4932998149329995,0.11205999999999999,09-Apr-2015,20:10:00,1
4932995149329981,4932998149329995,0.11024,09-Apr-2015,20:15:00,1
4932995149329981,4932998149329995,0.10937999999999999,09-Apr-2015,20:20:00,1
4932995149329981,4932998149329995,0.10643,09-Apr-2015,20:25:00,1
4932995149329981,4932998149329995,0.10579000000000001,09-Apr-2015,20:30:00,1
4932995149329981,4932998149329995,0.10665999999999999,09-Apr-2015,20:35:00,1
