LINK_ID,DAY,TIME_OF_DAY,FLOW
-24017890,09-Apr-2015,01:30:00,52.3638
-24017890,09-Apr-2015,01:35:00,54.5454
-24017890,09-Apr-2015,01:40:00,51.27264
-24017890,09-Apr-2015,01:45:00,45.81828
-24017890,09-Apr-2015,01:50:00,46.90908
-24017890,09-Apr-2015,01:55:00,45.81828
-24017890,09-Apr-2015,02:00:00,49.09104
-24017890,09-Apr-2015,02:05:00,43.63632
-24017890,09-Apr-2015,02:10:00,43.63632
-24017890,09-Apr-2015,02:15:00,43.63632
-24017890,09-Apr-2015,02:20:00,45.81828
-24017890,09-Apr-2015,02:25:00,49.09104
-24017890,09-Apr-2015,02:30:00,47.99988
-24017890,09-Apr-2015,02:35:00,51.27264
-24017890,09-Apr-2015,02:40:00,47.99988
-24017890,09-Apr-2015,02:45:00,45.81828
-24017890,09-Apr-2015,02:50:00,45.81828
-24017890,09-Apr-2015,02:55:00,45.81828
-24017890,09-Apr-2015,03:00:00,49.09104
-24017890,09-Apr-2015,03:05:00,44.72712
-24017890,09-Apr-2015,03:10:00,43.63632
-24017890,09-Apr-2015,03:15:00,41.45472
-24017890,09-Apr-2015,03:20:00,38.18196
-24017890,09-Apr-2015,03:25:00,32.72724
-24017890,09-Apr-2015,03:30:00,31.63644
-24017890,09-Apr-2015,03:35:00,33.81804
-24017890,09-Apr-2015,03:40:00,33.81804
-24017890,09-Apr-2015,03:45:00,31.63644
-24017890,09-Apr-2015,03:50:00,32.72724
-24017890,09-Apr-2015,03:55:00,30.54528
-24017890,09-Apr-2015,04:00:00,33.81804
-24017890,09-Apr-2015,04:05:00,38.18196
-24017890,09-Apr-2015,04:10:00,46.90908
-24017890,09-Apr-2015,04:15:00,43.63632
-24017890,09-Apr-2015,04:20:00,45.81828
-24017890,09-Apr-2015,04:25:00,52.3638
-24017890,09-Apr-2015,04:30:00,56.72736
-24017890,09-Apr-2015,04:35:00,60.00012
-24017890,09-Apr-2015,04:40:00,63.27288
-24017890,09-Apr-2015,04:45:00,57.81816
-24017890,09-Apr-2015,04:50:00,64.36368
-24017890,09-Apr-2015,04:55:00,72
-24017890,09-Apr-2015,05:00:00,72
-24017890,09-Apr-2015,05:05:00,69.81804
-24017890,09-Apr-2015,05:10:00,77.45472
-24017890,09-Apr-2015,05:15:00,88.3638
-24017890,09-Apr-2015,05:20:00,89.4546
-24017890,09-Apr-2015,05:25:00,94.90896
-24017890,09-Apr-2015,05:30:00,99.27288
-24017890,09-Apr-2015,05:35:00,114.54552
-24017890,09-Apr-2015,05:40:00,132.00012
-24017890,09-Apr-2015,05:45:00,147.27276
-24017890,09-Apr-2015,05:50:00,160.3638
-24017890,09-Apr-2015,05:55:00,184.36356
-24017890,09-Apr-2015,06:00:00,207.27288
-24017890,09-Apr-2015,06:05:00,245.45448
-24017890,09-Apr-2015,06:10:00,297.81828
-24017890,09-Apr-2015,06:15:00,360
-24017890,09-Apr-2015,06:20:00,440.72712
-24017890,09-Apr-2015,06:25:00,549.81828
-24017890,09-Apr-2015,06:30:00,644.72724
-24017890,09-Apr-2015,06:35:00,698.18184
-24017890,09-Apr-2015,06:40:00,738.5454
-24017890,09-Apr-2015,06:45:00,784.36368
-24017890,09-Apr-2015,06:50:00,813.81816
-24017890,09-Apr-2015,06:55:00,841.09104
-24017890,09-Apr-2015,07:00:00,868.36356
-24017890,09-Apr-2015,07:05:00,867.27276
-24017890,09-Apr-2015,07:10:00,883.6362
-24017890,09-Apr-2015,07:15:00,875.99988
-24017890,09-Apr-2015,07:20:00,861.81804
-24017890,09-Apr-2015,07:25:00,852.00012
-24017890,09-Apr-2015,07:30:00,874.90908
-24017890,09-Apr-2015,07:35:00,929.45448
-24017890,09-Apr-2015,07:40:00,960.00012
-24017890,09-Apr-2015,07:45:00,1006.9092
-24017890,09-Apr-2015,07:50:00,1058.18184
-24017890,09-Apr-2015,07:55:00,1090.90908
-24017890,09-Apr-2015,08:00:00,1153.0908
-24017890,09-Apr-2015,08:05:00,1179.27288
-24017890,09-Apr-2015,08:10:00,1199.99988
-24017890,09-Apr-2015,08:15:00,1209.81816
-24017890,09-Apr-2015,08:20:00,1214.18172
-24017890,09-Apr-2015,08:25:00,1215.27288
-24017890,09-Apr-2015,08:30:00,1204.3638
-24017890,09-Apr-2015,08:35:00,1189.0908
-24017890,09-Apr-2015,08:40:00,1156.36356
-24017890,09-Apr-2015,08:45:00,1135.6362
-24017890,09-Apr-2015,08:50:00,1123.63632
-24017890,09-Apr-2015,08:55:00,1080
-24017890,09-Apr-2015,09:00:00,1061.4546
-24017890,09-Apr-2015,09:05:00,1044
-24017890,09-Apr-2015,09:10:00,994.90896
-24017890,09-Apr-2015,09:15:00,965.45448
-24017890,09-Apr-2015,09:20:00,958.90896
-24017890,09-Apr-2015,09:25:00,937.6362
-24017890,09-Apr-2015,09:30:00,934.3638
-24017890,09-Apr-2015,09:35:00,938.72736
-24017890,09-Apr-2015,09:40:00,933.27264
-24017890,09-Apr-2015,09:45:00,943.09092
-24017890,09-Apr-2015,09:50:00,971.4546
-24017890,09-Apr-2015,09:55:00,975.81816
-24017890,09-Apr-2015,10:00:00,972.5454
-24017890,09-Apr-2015,10:05:00,975.81816
-24017890,09-Apr-2015,10:10:00,971.4546
-24017890,09-Apr-2015,10:15:00,959.45472
-24017890,09-Apr-2015,10:20:00,949.09104
-24017890,09-Apr-2015,10:25:00,932.72724
-24017890,09-Apr-2015,10:30:00,909.81828
-24017890,09-Apr-2015,10:35:00,894.54528
-24017890,09-Apr-2015,10:40:00,870.54552
-24017890,09-Apr-2015,10:45:00,823.63644
-24017890,09-Apr-2015,10:50:00,783.27288
-24017890,09-Apr-2015,10:55:00,778.90896
-24017890,09-Apr-2015,11:00:00,786.54528
-24017890,09-Apr-2015,11:05:00,781.09092
-24017890,09-Apr-2015,11:10:00,783.27288
-24017890,09-Apr-2015,11:15:00,792
-24017890,09-Apr-2015,11:20:00,818.18172
-24017890,09-Apr-2015,11:25:00,867.27276
-24017890,09-Apr-2015,11:30:00,903.27276
-24017890,09-Apr-2015,11:35:00,925.09092
-24017890,09-Apr-2015,11:40:00,970.9092
-24017890,09-Apr-2015,11:45:00,994.90896
-24017890,09-Apr-2015,11:50:00,998.18172
-24017890,09-Apr-2015,11:55:00,1014.54552
-24017890,09-Apr-2015,12:00:00,1040.72724
-24017890,09-Apr-2015,12:05:00,1040.72724
-24017890,09-Apr-2015,12:10:00,1029.81816
-24017890,09-Apr-2015,12:15:00,1017.81828
-24017890,09-Apr-2015,12:20:00,997.09092
-24017890,09-Apr-2015,12:25:00,980.72712
-24017890,09-Apr-2015,12:30:00,934.9092
-24017890,09-Apr-2015,12:35:00,894.54528
-24017890,09-Apr-2015,12:40:00,880.3638
-24017890,09-Apr-2015,12:45:00,861.81804
-24017890,09-Apr-2015,12:50:00,841.09104
-24017890,09-Apr-2015,12:55:00,818.18172
-24017890,09-Apr-2015,13:00:00,813.81816
-24017890,09-Apr-2015,13:05:00,836.72712
-24017890,09-Apr-2015,13:10:00,845.4546
-24017890,09-Apr-2015,13:15:00,860.72724
-24017890,09-Apr-2015,13:20:00,872.72712
-24017890,09-Apr-2015,13:25:00,937.0908
-24017890,09-Apr-2015,13:30:00,936
-24017890,09-Apr-2015,13:35:00,947.99988
-24017890,09-Apr-2015,13:40:00,956.72736
-24017890,09-Apr-2015,13:45:00,968.72724
-24017890,09-Apr-2015,13:50:00,967.63644
-24017890,09-Apr-2015,13:55:00,960.00012
-24017890,09-Apr-2015,14:00:00,940.36356
-24017890,09-Apr-2015,14:05:00,906.54552
-24017890,09-Apr-2015,14:10:00,889.09092
-24017890,09-Apr-2015,14:15:00,864
-24017890,09-Apr-2015,14:20:00,846.5454
-24017890,09-Apr-2015,14:25:00,867.27276
-24017890,09-Apr-2015,14:30:00,872.72712
-24017890,09-Apr-2015,14:35:00,888.00012
-24017890,09-Apr-2015,14:40:00,898.9092
-24017890,09-Apr-2015,14:45:00,933.81804
-24017890,09-Apr-2015,14:50:00,962.18172
-24017890,09-Apr-2015,14:55:00,975.27276
-24017890,09-Apr-2015,15:00:00,1003.63644
-24017890,09-Apr-2015,15:05:00,1013.45472
-24017890,09-Apr-2015,15:10:00,1052.72712
-24017890,09-Apr-2015,15:15:00,1037.45448
-24017890,09-Apr-2015,15:20:00,1000.36368
-24017890,09-Apr-2015,15:25:00,1013.45472
-24017890,09-Apr-2015,15:30:00,989.4546
-24017890,09-Apr-2015,15:35:00,957.81816
-24017890,09-Apr-2015,15:40:00,922.90896
-24017890,09-Apr-2015,15:45:00,916.3638
-24017890,09-Apr-2015,15:50:00,915.27264
-24017890,09-Apr-2015,15:55:00,917.4546
-24017890,09-Apr-2015,16:00:00,910.90908
-24017890,09-Apr-2015,16:05:00,885.81816
-24017890,09-Apr-2015,16:10:00,893.45448
-24017890,09-Apr-2015,16:15:00,925.09092
-24017890,09-Apr-2015,16:20:00,915.27264
-24017890,09-Apr-2015,16:25:00,937.0908
-24017890,09-Apr-2015,16:30:00,977.45472
-24017890,09-Apr-2015,16:35:00,1000.36368
-24017890,09-Apr-2015,16:40:00,1018.90908
-24017890,09-Apr-2015,16:45:00,1023.27264
-24017890,09-Apr-2015,16:50:00,1047.27276
-24017890,09-Apr-2015,16:55:00,1076.72724
-24017890,09-Apr-2015,17:00:00,1114.9092
-24017890,09-Apr-2015,17:05:00,1127.99988
-24017890,09-Apr-2015,17:10:00,1167.27264
-24017890,09-Apr-2015,17:15:00,1201.09104
-24017890,09-Apr-2015,17:20:00,1243.6362
-24017890,09-Apr-2015,17:25:00,1266.54552
-24017890,09-Apr-2015,17:30:00,1298.18196
-24017890,09-Apr-2015,17:35:00,1327.63644
-24017890,09-Apr-2015,17:40:00,1352.72736
-24017890,09-Apr-2015,17:45:00,1374.54552
-24017890,09-Apr-2015,17:50:00,1349.4546
-24017890,09-Apr-2015,17:55:00,1322.18172
-24017890,09-Apr-2015,18:00:00,1327.63644
-24017890,09-Apr-2015,18:05:00,1292.72724
-24017890,09-Apr-2015,18:10:00,1262.18196
-24017890,09-Apr-2015,18:15:00,1243.6362
-24017890,09-Apr-2015,18:20:00,1249.09092
-24017890,09-Apr-2015,18:25:00,1234.90908
-24017890,09-Apr-2015,18:30:00,1224
