IN_LINK_ID,OUT_LINK_ID
4932995149329981,4932998149329995
4932995149329981,49329981941017052
4932998349329964,49329964941017051
4932998349329964,49329964311830187
94101703949330004,4933000449329998
94101703949330004,4933000449329983
94101703949330004,4933000449329960
94101703949330004,49330004941017053
4933001449330004,4933000449329983
4933001449330004,4933000449329998
4933001449330004,4933000449329960
4932999849330004,4933000449329983
4932999849330004,4933000449329960
4932999849330004,49330004941017053
4933000449329998,4932999849329991
4933000449329998,4932999849330081
4933000449329998,49329998941017050
4932999549329998,4932999849330004
4932999549329998,4932999849329991
4932999549329998,4932999849330081
4932999549329998,49329998941017050
4932999149329998,4932999849330081
4932999149329998,4932999849330004
4932999149329998,49329998941017050
94101707749329991,49329991941017066
94101707749329991,4932999149329944
94101707749329991,4932999149329998
4932994449329991,4932999149329998
4932994449329991,49329991941017066
4932994449329991,49329991941017078
4932999849329991,49329991941017078
4932999849329991,49329991941017066
4932999849329991,4932999149329944
94101706549329991,49329991941017078
94101706549329991,4932999149329998
94101706549329991,4932999149329944
4932997049329960,4932996049329946
4932997049329960,49329960311830187
4933000449329960,4932996049329946
4933000449329960,49329960311830187
4933000449329960,49329960941017075
4932994649329960,49329960941017075
4932994649329960,49329960311830187
4932996049329946,4932994649329995
4932996049329946,4932994649329944
4932994449329946,4932994649329995
4932994449329946,4932994649329960
4932957849329946,4932994649329944
4932957849329946,4932994649329995
4932957849329946,4932994649329960
4932994649329944,4932994449329936
4932994649329944,49329944941017047
4932994649329944,4932994449329991
94101704449329944,4932994449329936
94101704449329944,4932994449329991
94101704449329944,4932994449329946
4932999149329944,4932994449329936
4932999149329944,4932994449329946
4932999149329944,49329944941017047
4932993649329944,49329944941017047
4932993649329944,4932994449329991
4932993649329944,4932994449329946
4932994449329936,49329936941017063
4932994449329936,4932993649329933
4932994449329936,49329936941017072
94101707149329936,4932993649329933
94101707149329936,49329936941017063
94101707149329936,4932993649329944
4932989349329936,4932993649329933
4932989349329936,49329936941017072
4932989349329936,4932993649329944
4932993349329936,49329936941017063
4932993349329936,4932993649329944
4932993349329936,49329936941017072
4932993649329933,4932993349329891
4932993649329933,4932993349329576
4932993649329933,49329933941017069
94101706849329933,4932993349329576
94101706849329933,4932993349329891
94101706849329933,4932993349329936
4932957649329933,4932993349329891
4932957649329933,4932993349329936
4932957649329933,49329933941017069
31183018749329585,49329585941017054
31183018749329585,4932958549329578
29895409649329585,49329585941017045
29895409649329585,49329585941017049
29895409649329585,4932958549329578
31183018749329585,49329585941017045
31183018749329585,49329585941017049
4932957849329585,49329585941017054
4932957849329585,49329585941017045
4932957849329585,49329585941017049
4932958549329578,4932957849329576
4932958549329578,4932957849329946
4932958549329578,4932957849329951
94101703849329578,4932957849329576
94101703849329578,4932957849329946
94101703849329578,4932957849329951
94101703849329578,4932957849329585
4932957649329578,4932957849329946
4932957649329578,4932957849329951
4932957649329578,4932957849329585
4932957849329576,4932957649329933
4932957849329576,49329576941017057
4932957849329576,49329576941017060
4932993349329576,49329576941017057
4932993349329576,4932957649329578
4932993349329576,49329576941017060
4932956949329576,4932957649329578
4932956949329576,49329576941017057
4932956949329576,4932957649329933
4932952749329576,4932957649329933
4932952749329576,4932957649329578
4932952749329576,49329576941017060
49329960311830187,31183018749329585
49329964311830187,31183018749329585
4932998149329995,4932999549329998
4932994649329995,4932999549329998
4933000449329983,4932998349329964
94101704149329983,4932998349329964
4932957849329951,4932995149329981
94101704349329951,4932995149329981
941017042298954096,29895409649329585
4932999849330081,49330081941017048
94101704049330014,4933001449330004
94101707449329970,4932997049329960
94101706249329893,4932989349329936
4932993349329891,49329891941017046
94101705949329569,4932956949329576
94101705649329527,4932952749329576
