IN_LINK_ID,OUT_LINK_ID,DAY,TIME_OF_DAY,TURN_RATIO
782790509,-24017890,09-Apr-2015,00:00:00,0.07245
782790509,-24017890,09-Apr-2015,00:05:00,0.07996
782790509,-24017890,09-Apr-2015,00:10:00,0.08093
782790509,-24017890,09-Apr-2015,00:15:00,0.07949
782790509,-24017890,09-Apr-2015,00:20:00,0.07551
782790509,-24017890,09-Apr-2015,00:25:00,0.0724
782790509,-24017890,09-Apr-2015,00:30:00,0.07949
782790509,-24017890,09-Apr-2015,00:35:00,0.07942
782790509,-24017890,09-Apr-2015,00:40:00,0.07304
782790509,-24017890,09-Apr-2015,00:45:00,0.07124
782790509,-24017890,09-Apr-2015,00:50:00,0.06886
782790509,-24017890,09-Apr-2015,00:55:00,0.07027
782790509,-24017890,09-Apr-2015,01:00:00,0.06662
782790509,-24017890,09-Apr-2015,01:05:00,0.06391
782790509,-24017890,09-Apr-2015,01:10:00,0.05899
782790509,-24017890,09-Apr-2015,01:15:00,0.06163
782790509,-24017890,09-Apr-2015,01:20:00,0.06408
782790509,-24017890,09-Apr-2015,01:25:00,0.05692
782790509,-24017890,09-Apr-2015,01:30:00,0.05444
782790509,-24017890,09-Apr-2015,01:35:00,0.05045
782790509,-24017890,09-Apr-2015,01:40:00,0.05349
782790509,-24017890,09-Apr-2015,01:45:00,0.0502
782790509,-24017890,09-Apr-2015,01:50:00,0.04544
782790509,-24017890,09-Apr-2015,01:55:00,0.04768
782790509,-24017890,09-Apr-2015,02:00:00,0.04752
782790509,-24017890,09-Apr-2015,02:05:00,0.05259
782790509,-24017890,09-Apr-2015,02:10:00,0.04633
782790509,-24017890,09-Apr-2015,02:15:00,0.04631
782790509,-24017890,09-Apr-2015,02:20:00,0.04754
782790509,-24017890,09-Apr-2015,02:25:00,0.04953
782790509,-24017890,09-Apr-2015,02:30:00,0.05383
782790509,-24017890,09-Apr-2015,02:35:00,0.05408
782790509,-24017890,09-Apr-2015,02:40:00,0.05928
782790509,-24017890,09-Apr-2015,02:45:00,0.05838
782790509,-24017890,09-Apr-2015,02:50:00,0.0565
782790509,-24017890,09-Apr-2015,02:55:00,0.05716
782790509,-24017890,09-Apr-2015,03:00:00,0.05725
782790509,-24017890,09-Apr-2015,03:05:00,0.06434
782790509,-24017890,09-Apr-2015,03:10:00,0.06032
782790509,-24017890,09-Apr-2015,03:15:00,0.05709
782790509,-24017890,09-Apr-2015,03:20:00,0.05355
782790509,-24017890,09-Apr-2015,03:25:00,0.04985
782790509,-24017890,09-Apr-2015,03:30:00,0.04237
782790509,-24017890,09-Apr-2015,03:35:00,0.0399
782790509,-24017890,09-Apr-2015,03:40:00,0.04013
782790509,-24017890,09-Apr-2015,03:45:00,0.03884
782790509,-24017890,09-Apr-2015,03:50:00,0.03541
782790509,-24017890,09-Apr-2015,03:55:00,0.03512
782790509,-24017890,09-Apr-2015,04:00:00,0.03154
782790509,-24017890,09-Apr-2015,04:05:00,0.03259
782790509,-24017890,09-Apr-2015,04:10:00,0.03437
782790509,-24017890,09-Apr-2015,04:15:00,0.04142
782790509,-24017890,09-Apr-2015,04:20:00,0.03546
782790509,-24017890,09-Apr-2015,04:25:00,0.03471
782790509,-24017890,09-Apr-2015,04:30:00,0.03664
782790509,-24017890,09-Apr-2015,04:35:00,0.03884
782790509,-24017890,09-Apr-2015,04:40:00,0.03888
782790509,-24017890,09-Apr-2015,04:45:00,0.03783
782790509,-24017890,09-Apr-2015,04:50:00,0.03249
782790509,-24017890,09-Apr-2015,04:55:00,0.03317
782790509,-24017890,09-Apr-2015,05:00:00,0.03472
782790509,-24017890,09-Apr-2015,05:05:00,0.03273
782790509,-24017890,09-Apr-2015,05:10:00,0.02927
782790509,-24017890,09-Apr-2015,05:15:00,0.0302
782790509,-24017890,09-Apr-2015,05:20:00,0.03225
782790509,-24017890,09-Apr-2015,05:25:00,0.03059
782790509,-24017890,09-Apr-2015,05:30:00,0.03071
782790509,-24017890,09-Apr-2015,05:35:00,0.03025
782790509,-24017890,09-Apr-2015,05:40:00,0.03399
782790509,-24017890,09-Apr-2015,05:45:00,0.03703
782790509,-24017890,09-Apr-2015,05:50:00,0.03898
782790509,-24017890,09-Apr-2015,05:55:00,0.04028
782790509,-24017890,09-Apr-2015,06:00:00,0.04382
782790509,-24017890,09-Apr-2015,06:05:00,0.0462
782790509,-24017890,09-Apr-2015,06:10:00,0.05158
782790509,-24017890,09-Apr-2015,06:15:00,0.05869
782790509,-24017890,09-Apr-2015,06:20:00,0.06615
782790509,-24017890,09-Apr-2015,06:25:00,0.07455
782790509,-24017890,09-Apr-2015,06:30:00,0.08784
782790509,-24017890,09-Apr-2015,06:35:00,0.0981
782790509,-24017890,09-Apr-2015,06:40:00,0.10073
782790509,-24017890,09-Apr-2015,06:45:00,0.10154
782790509,-24017890,09-Apr-2015,06:50:00,0.10259
782790509,-24017890,09-Apr-2015,06:55:00,0.10096
782790509,-24017890,09-Apr-2015,07:00:00,0.10039
782790509,-24017890,09-Apr-2015,07:05:00,0.09952
782790509,-24017890,09-Apr-2015,07:10:00,0.09677
782790509,-24017890,09-Apr-2015,07:15:00,0.09486
782790509,-24017890,09-Apr-2015,07:20:00,0.09186
782790509,-24017890,09-Apr-2015,07:25:00,0.08764
782790509,-24017890,09-Apr-2015,07:30:00,0.08397
782790509,-24017890,09-Apr-2015,07:35:00,0.08445
782790509,-24017890,09-Apr-2015,07:40:00,0.08913
782790509,-24017890,09-Apr-2015,07:45:00,0.09165
782790509,-24017890,09-Apr-2015,07:50:00,0.09572
782790509,-24017890,09-Apr-2015,07:55:00,0.10035
782790509,-24017890,09-Apr-2015,08:00:00,0.10452
782790509,-24017890,09-Apr-2015,08:05:00,0.11096
782790509,-24017890,09-Apr-2015,08:10:00,0.11652
782790509,-24017890,09-Apr-2015,08:15:00,0.12067
782790509,-24017890,09-Apr-2015,08:20:00,0.12378
782790509,-24017890,09-Apr-2015,08:25:00,0.12513
782790509,-24017890,09-Apr-2015,08:30:00,0.1278
782790509,-24017890,09-Apr-2015,08:35:00,0.13002
782790509,-24017890,09-Apr-2015,08:40:00,0.13155
