IN_LINK_ID,OUT_LINK_ID,RELATIVE_GREEN,INTERSECTION,MOVEMENT
4932957849329585,49329585941017045,0.20444444444444446,Maple & Lake,NBL
29895409649329585,4932958549329578,0.2688888888888889,Maple & Lake,SBT
29895409649329585,49329585941017049,0.2688888888888889,Maple & Lake,SBR
29895409649329585,49329585941017045,0.2688888888888889,Maple & Lake,SBR2
4932958549329578,4932957849329951,0.10444444444444444,Corson & Lake,SBL2
4932958549329578,4932957849329946,0.10444444444444444,Corson & Lake,SBL
4932957649329578,4932957849329585,0.3577777777777778,Corson & Lake,NBT
4932957649329578,4932957849329951,0.3577777777777778,Corson & Lake,NBR
4932957649329578,4932957849329946,0.3577777777777778,Corson & Lake,NBR2
94101703849329578,4932957849329585,0.3677777777777778,Corson & Lake,EBL2
94101703849329578,4932957849329951,0.3677777777777778,Corson & Lake,EBL
94101703849329578,4932957849329946,0.3677777777777778,Corson & Lake,EBT
94101703849329578,4932957849329576,0.3677777777777778,Corson & Lake,EBR
4932958549329578,4932957849329576,0.5133333333333334,Corson & Lake,SBT
4933000449329998,49329998941017050,0.1375,Corson & Hill,SBL2
4933000449329998,4932999849330081,0.1375,Corson & Hill,SBL
4932999149329998,4932999849330004,0.315,Corson & Hill,NBT
4932999149329998,49329998941017050,0.315,Corson & Hill,NBR
4932999149329998,4932999849330081,0.315,Corson & Hill,NBR2
4932999549329998,4932999849330004,0.365,Corson & Hill,EBL2
4932999549329998,49329998941017050,0.365,Corson & Hill,EBL
4932999549329998,4932999849330081,0.365,Corson & Hill,EBT
4932999549329998,4932999849329991,0.365,Corson & Hill,EBR
4933000449329998,4932999849329991,0.5125,Corson & Hill,SBT
4932999849330004,49330004941017053,0.5900000000000001,Maple & Hill,NBT
94101703949330004,4933000449329998,0.29,Maple & Hill,WBL2
94101703949330004,4933000449329983,0.29,Maple & Hill,WBL
94101703949330004,4933000449329960,0.29,Maple & Hill,WBT
94101703949330004,49330004941017053,0.29,Maple & Hill,WBR
4932999849330004,4933000449329983,0.27375,Maple & Hill,NBL2
4932999849330004,4933000449329960,0.27375,Maple & Hill,NBL
4933001449330004,4933000449329998,0.265,Maple & Hill,SBT
4933001449330004,4933000449329983,0.265,Maple & Hill,SBR
4933001449330004,4933000449329960,0.265,Maple & Hill,SBR2
4932995149329981,4932998149329995,1,0,0
4932995149329981,49329981941017052,1,0,0
4932998349329964,49329964941017051,1,0,0
4932998349329964,49329964311830187,1,0,0
49329960311830187,31183018749329585,1,0,0
49329964311830187,31183018749329585,1,0,0
4932998149329995,4932999549329998,1,0,0
4932994649329995,4932999549329998,1,0,0
4933000449329983,4932998349329964,1,0,0
94101704149329983,4932998349329964,1,0,0
