LINK_ID,FLOW,WEIGHT
4932998149329995,162.0,1
4932957849329951,182.03992,1
4932995149329981,0,0
49329981941017052,0,0
4932998349329964,0,0
49329964941017051,0,0
49329964311830187,0,0
94101703949330004,0,0
4933000449329998,0,0
4933000449329983,0,0
4933000449329960,0,0
49330004941017053,0,0
4933001449330004,0,0
4932999849330004,0,0
4932999849329991,0,0
4932999849330081,0,0
49329998941017050,0,0
4932999549329998,0,0
4932999149329998,0,0
94101707749329991,0,0
49329991941017066,0,0
4932999149329944,0,0
4932994449329991,0,0
49329991941017078,0,0
94101706549329991,0,0
4932997049329960,0,0
4932996049329946,0,0
49329960311830187,0,0
49329960941017075,0,0
4932994649329960,0,0
4932994649329995,0,0
4932994649329944,0,0
4932994449329946,0,0
4932957849329946,0,0
4932994449329936,0,0
49329944941017047,0,0
94101704449329944,0,0
4932993649329944,0,0
49329936941017063,0,0
4932993649329933,0,0
49329936941017072,0,0
94101707149329936,0,0
4932989349329936,0,0
4932993349329936,0,0
4932993349329891,0,0
4932993349329576,0,0
49329933941017069,0,0
94101706849329933,0,0
4932957649329933,0,0
31183018749329585,0,0
49329585941017054,0,0
4932958549329578,0,0
29895409649329585,0,0
49329585941017045,0,0
49329585941017049,0,0
4932957849329585,0,0
4932957849329576,0,0
94101703849329578,0,0
4932957649329578,0,0
49329576941017057,0,0
49329576941017060,0,0
4932956949329576,0,0
4932952749329576,0,0
94101704149329983,0,0
94101704349329951,0,0
941017042298954096,0,0
49330081941017048,0,0
94101704049330014,0,0
94101707449329970,0,0
94101706249329893,0,0
49329891941017046,0,0
94101705949329569,0,0
94101705649329527,0,0
