OBJ_VAL,DAY,TIME_OF_DAY
9.72484771265e-13,09-Apr-2015,10:35:00
2.0375093647e-12,09-Apr-2015,10:40:00
9.534256594e-13,09-Apr-2015,10:45:00
0.00318074593374,09-Apr-2015,10:50:00
1.39068369648e-12,09-Apr-2015,10:55:00
6.51305074652e-12,09-Apr-2015,11:00:00
3.48723268051e-12,09-Apr-2015,11:05:00
5.2528766712e-12,09-Apr-2015,11:10:00
1.10956044128e-11,09-Apr-2015,11:15:00
1.57671247704e-12,09-Apr-2015,11:20:00
9.01865787467e-12,09-Apr-2015,11:25:00
4.10112534415e-12,09-Apr-2015,11:30:00
1.96106308476e-12,09-Apr-2015,11:35:00
1.42655901867e-11,09-Apr-2015,11:40:00
8.18270079376e-12,09-Apr-2015,11:45:00
4.06484356103e-11,09-Apr-2015,11:50:00
1.80766338096e-11,09-Apr-2015,11:55:00
0.00485411884256,09-Apr-2015,12:00:00
1.53804146308e-11,09-Apr-2015,12:05:00
8.05205931432e-12,09-Apr-2015,12:10:00
7.21463605765e-12,09-Apr-2015,12:15:00
2.45864226223e-11,09-Apr-2015,12:20:00
2.28186047274e-11,09-Apr-2015,12:25:00
5.83033137971e-12,09-Apr-2015,12:30:00
2.0548954548e-11,09-Apr-2015,12:35:00
2.08567010703e-12,09-Apr-2015,12:40:00
1.3606038023e-12,09-Apr-2015,12:45:00
5.53004067092e-11,09-Apr-2015,12:50:00
1.40650360595e-12,09-Apr-2015,12:55:00
4.15227098535e-12,09-Apr-2015,13:00:00
3.88822477524e-11,09-Apr-2015,13:05:00
1.41730359018e-11,09-Apr-2015,13:10:00
2.31625625092e-11,09-Apr-2015,13:15:00
3.12244417016e-11,09-Apr-2015,13:20:00
1.79773470643e-10,09-Apr-2015,13:25:00
1.07817756852e-11,09-Apr-2015,13:30:00
2.70596277847e-11,09-Apr-2015,13:35:00
3.05058123207e-11,09-Apr-2015,13:40:00
5.11539463998e-11,09-Apr-2015,13:45:00
1.77918526525e-11,09-Apr-2015,13:50:00
1.95186523566e-11,09-Apr-2015,13:55:00
1.51239723174e-11,09-Apr-2015,14:00:00
7.36319997305e-12,09-Apr-2015,14:05:00
4.52380393473e-11,09-Apr-2015,14:10:00
1.0291071423e-10,09-Apr-2015,14:15:00
6.44259337815e-11,09-Apr-2015,14:20:00
4.52327720662e-10,09-Apr-2015,14:25:00
0.00593185964256,09-Apr-2015,14:30:00
1.47883557151e-10,09-Apr-2015,14:35:00
5.11215160397e-10,09-Apr-2015,14:40:00
1.24532647218e-07,09-Apr-2015,14:45:00
1.35361363444e-07,09-Apr-2015,14:50:00
2.0972476519e-10,09-Apr-2015,14:55:00
18.116964693,09-Apr-2015,15:00:00
1.29847504911e-09,09-Apr-2015,15:05:00
9.6521202291e-09,09-Apr-2015,15:10:00
3.44279769371e-11,09-Apr-2015,15:15:00
1.06683938073e-11,09-Apr-2015,15:20:00
6.73191021667e-11,09-Apr-2015,15:25:00
1.42303700491e-11,09-Apr-2015,15:30:00
1.24917953323e-10,09-Apr-2015,15:35:00
1.37674262688e-10,09-Apr-2015,15:40:00
1.53815976461e-10,09-Apr-2015,15:45:00
1.0992838247e-09,09-Apr-2015,15:50:00
2.27911777733e-11,09-Apr-2015,15:55:00
0.00601579672657,09-Apr-2015,16:00:00
1.66292804162e-10,09-Apr-2015,16:05:00
1.78306893222e-09,09-Apr-2015,16:10:00
5.83946337574e-09,09-Apr-2015,16:15:00
7.4515231957e-11,09-Apr-2015,16:20:00
12.3735549596,09-Apr-2015,16:25:00
523.343660364,09-Apr-2015,16:30:00
16.3302096322,09-Apr-2015,16:35:00
1.2202271043e-08,09-Apr-2015,16:40:00
2.62608802493e-09,09-Apr-2015,16:45:00
19.2570027613,09-Apr-2015,16:50:00
183.535272151,09-Apr-2015,16:55:00
287.114894542,09-Apr-2015,17:00:00
1.36916145687e-07,09-Apr-2015,17:05:00
368.436475779,09-Apr-2015,17:10:00
275.888974639,09-Apr-2015,17:15:00
470.437440606,09-Apr-2015,17:20:00
38.1949621309,09-Apr-2015,17:25:00
262.551594099,09-Apr-2015,17:30:00
362.65703425,09-Apr-2015,17:35:00
318.161603722,09-Apr-2015,17:40:00
2.42996937651e-09,09-Apr-2015,17:45:00
1.16392287748e-11,09-Apr-2015,17:50:00
1.43587206113e-11,09-Apr-2015,17:55:00
1.44735614048e-10,09-Apr-2015,18:00:00
1.06110867088e-10,09-Apr-2015,18:05:00
1.37324369807e-10,09-Apr-2015,18:10:00
1.10899307678e-10,09-Apr-2015,18:15:00
2.85690406562e-11,09-Apr-2015,18:20:00
8.10600840448e-11,09-Apr-2015,18:25:00
4.05124845599e-11,09-Apr-2015,18:30:00
3.78690757807e-11,09-Apr-2015,18:35:00
1.94488961603e-11,09-Apr-2015,18:40:00
3.36526505392e-11,09-Apr-2015,18:45:00
1.69602558041e-11,09-Apr-2015,18:50:00
0.00485970153032,09-Apr-2015,18:55:00
6.32009564711e-12,09-Apr-2015,19:00:00
5.16941940287e-11,09-Apr-2015,19:05:00
1.06055351604e-11,09-Apr-2015,19:10:00
1.70949839637e-12,09-Apr-2015,19:15:00
1.5284384771e-12,09-Apr-2015,19:20:00
4.46804232984e-13,09-Apr-2015,19:25:00
8.48329660154e-12,09-Apr-2015,19:30:00
0.00313762668338,09-Apr-2015,19:35:00
1.22330992117e-12,09-Apr-2015,19:40:00
0.00276063437822,09-Apr-2015,19:45:00
2.98142577188e-13,09-Apr-2015,19:50:00
5.24424751103e-13,09-Apr-2015,19:55:00
3.93461894518e-13,09-Apr-2015,20:00:00
8.12615856548e-14,09-Apr-2015,20:05:00
5.62180863423e-14,09-Apr-2015,20:10:00
2.39485514434e-14,09-Apr-2015,20:15:00
4.29407739423e-14,09-Apr-2015,20:20:00
2.07803168822e-14,09-Apr-2015,20:25:00
2.93330104655e-14,09-Apr-2015,20:30:00
1.04521909782e-13,09-Apr-2015,20:35:00
4.60140688018e-13,09-Apr-2015,20:40:00
3.59477960817e-14,09-Apr-2015,20:45:00
8.78402416037e-13,09-Apr-2015,20:50:00
4.26669079497e-14,09-Apr-2015,20:55:00
3.06221362473e-14,09-Apr-2015,21:00:00
3.00519464884e-14,09-Apr-2015,21:05:00
8.62772079804e-14,09-Apr-2015,21:10:00
3.57131694893e-14,09-Apr-2015,21:15:00
9.34182162324e-14,09-Apr-2015,21:20:00
7.20486812727e-13,09-Apr-2015,21:25:00
7.12282016391e-13,09-Apr-2015,21:30:00
1.13548710603e-12,09-Apr-2015,21:35:00
8.44823153565e-13,09-Apr-2015,21:40:00
3.15553673644e-14,09-Apr-2015,21:45:00
3.93555073221e-14,09-Apr-2015,21:50:00
9.65951570454e-14,09-Apr-2015,21:55:00
9.65138397176e-14,09-Apr-2015,22:00:00
2.48254379115e-13,09-Apr-2015,22:05:00
3.77651188265e-13,09-Apr-2015,22:10:00
5.03124633172e-14,09-Apr-2015,22:15:00
6.01187915773e-13,09-Apr-2015,22:20:00
2.41738352592e-13,09-Apr-2015,22:25:00
4.83273660444e-13,09-Apr-2015,22:30:00
9.03874816991e-13,09-Apr-2015,22:35:00
2.91075638684e-14,09-Apr-2015,22:40:00
1.24868583457e-13,09-Apr-2015,22:45:00
